Date,Open,High,Low,Close,Adj Close,Volume
2015-07-23,339.000000,345.000000,335.299988,337.049988,331.826996,672679
2015-07-24,337.000000,343.899994,335.350006,340.100006,334.829742,709976
2015-07-27,339.500000,341.350006,331.200012,335.899994,330.694855,487372
2015-07-28,336.500000,344.899994,336.500000,341.100006,335.814240,1107079
2015-07-29,342.850006,343.750000,333.299988,338.549988,333.303741,801921
2015-07-30,338.500000,345.250000,336.000000,338.799988,333.549896,1117699
2015-07-31,339.000000,341.600006,320.350006,323.649994,318.634674,3631818
2015-08-03,323.000000,324.000000,315.450012,317.250000,312.333832,2457661
2015-08-04,317.700012,319.399994,314.500000,315.950012,311.054016,1300131
2015-08-05,316.950012,322.850006,316.049988,320.500000,315.533447,1990552
2015-08-06,324.450012,328.750000,321.000000,327.750000,322.671143,1355010
2015-08-07,328.000000,335.149994,324.500000,334.000000,328.824280,1020332
2015-08-10,334.450012,334.500000,328.000000,329.350006,324.246338,527219
2015-08-11,330.500000,338.000000,323.100006,328.399994,323.311066,1135585
2015-08-12,327.899994,334.000000,323.200012,330.100006,324.984741,628727
2015-08-13,331.200012,338.600006,320.600006,328.149994,323.064911,1800158
2015-08-14,331.899994,337.000000,326.000000,335.049988,329.858002,349444
2015-08-17,336.100006,340.000000,330.149994,336.600006,331.384003,590909
2015-08-18,338.000000,338.600006,331.600006,336.149994,330.940948,219001
2015-08-19,335.850006,342.899994,334.250000,340.450012,335.174347,336368
2015-08-20,344.600006,345.799988,338.350006,341.200012,335.912720,758875
2015-08-21,338.100006,345.500000,334.100006,344.299988,338.964630,603152
2015-08-24,334.500000,338.850006,328.549988,332.600006,327.445984,802619
2015-08-25,335.049988,337.700012,321.500000,327.000000,321.932739,635497
2015-08-26,328.000000,333.100006,320.500000,324.750000,319.717621,795875
2015-08-27,320.000000,353.100006,320.000000,347.049988,341.672028,3735076
2015-08-28,346.100006,348.000000,338.399994,341.600006,336.306519,742569
2015-08-31,341.899994,345.000000,336.149994,337.799988,332.565369,561975
2015-09-01,335.750000,339.299988,328.000000,334.950012,329.759583,423225
2015-09-02,336.000000,336.000000,321.100006,323.100006,318.093170,909066
2015-09-03,324.850006,330.000000,323.000000,327.200012,322.129639,351699
2015-09-04,327.750000,334.399994,318.350006,332.950012,327.790558,854711
2015-09-07,333.000000,337.700012,329.100006,332.399994,327.249084,366587
2015-09-08,333.100006,334.950012,316.049988,322.000000,317.010254,842521
2015-09-09,325.250000,332.500000,324.350006,330.549988,325.427734,903800
2015-09-10,326.350006,329.799988,321.250000,325.950012,320.899017,756925
2015-09-11,326.250000,331.000000,325.149994,326.450012,321.391296,481787
2015-09-14,329.899994,331.000000,325.200012,329.000000,323.901764,324466
2015-09-15,331.000000,331.000000,323.000000,326.000000,320.948273,231855
2015-09-16,330.100006,331.250000,326.399994,327.750000,322.671143,179163
2015-09-18,326.299988,329.799988,319.649994,321.899994,316.911804,1000353
2015-09-21,320.000000,323.399994,317.299988,318.700012,313.761414,430092
2015-09-22,319.500000,323.649994,316.299988,318.850006,313.909027,457865
2015-09-23,317.000000,321.500000,311.200012,319.899994,314.942749,635557
2015-09-24,319.450012,326.899994,318.000000,324.850006,319.816071,1692883
2015-09-28,324.950012,328.700012,321.200012,326.100006,321.046722,484788
2015-09-29,323.799988,324.950012,318.500000,321.200012,316.222656,589238
2015-09-30,323.000000,324.600006,316.399994,317.850006,312.924561,697606
2015-10-01,314.000000,329.700012,302.750000,327.250000,322.178894,1842510
2015-10-05,331.899994,334.450012,325.799988,330.850006,325.723114,473457
2015-10-06,333.200012,349.950012,329.450012,348.500000,343.099579,1592362
2015-10-07,344.000000,347.700012,342.399994,345.149994,339.801483,398156
2015-10-08,345.049988,349.100006,340.000000,341.049988,335.765015,353672
2015-10-09,342.750000,347.250000,340.350006,343.200012,337.881744,521299
2015-10-12,340.700012,349.450012,340.700012,342.649994,337.340210,731079
2015-10-13,342.500000,346.100006,342.299988,343.450012,338.127838,222643
2015-10-14,345.000000,351.799988,341.950012,348.450012,343.050354,775139
2015-10-15,350.200012,355.000000,343.299988,352.950012,347.480652,830753
2015-10-16,354.649994,355.799988,350.799988,353.950012,348.465149,592163
2015-10-19,346.000000,356.750000,346.000000,350.950012,345.511597,535865
2015-10-20,351.299988,357.950012,349.750000,352.100006,346.643799,440519
2015-10-21,353.600006,354.000000,343.700012,347.799988,342.410400,397954
2015-10-23,355.649994,355.649994,342.700012,343.700012,338.373962,336286
2015-10-26,344.399994,349.000000,343.100006,344.799988,339.456909,475118
2015-10-27,344.799988,346.250000,338.250000,340.399994,335.125092,265056
2015-10-28,341.000000,355.500000,340.950012,350.799988,345.363922,670732
2015-10-29,351.299988,356.500000,348.200012,352.299988,346.840698,880195
2015-10-30,346.000000,355.000000,342.899994,349.950012,344.527100,1191629
2015-11-02,335.000000,358.899994,329.350006,356.600006,351.074066,4413018
2015-11-03,354.899994,364.500000,347.600006,348.399994,343.001099,1697686
2015-11-04,349.100006,354.549988,346.950012,348.000000,342.607330,774920
2015-11-05,347.049988,354.000000,346.000000,348.750000,343.345703,476785
2015-11-06,348.950012,353.000000,346.149994,350.049988,344.625549,495582
2015-11-09,340.500000,361.000000,340.500000,354.399994,348.908142,714356
2015-11-10,354.000000,358.000000,348.850006,352.799988,347.332947,347269
2015-11-13,351.700012,359.000000,350.200012,354.649994,349.154297,567501
2015-11-16,351.049988,362.600006,351.049988,359.700012,354.126038,655262
2015-11-17,360.200012,361.250000,356.000000,358.399994,352.846161,506095
2015-11-18,356.200012,364.799988,356.200012,360.799988,355.208954,409990
2015-11-19,363.700012,372.000000,358.799988,369.899994,364.167938,802938
2015-11-20,372.149994,374.450012,366.649994,371.700012,365.940094,724817
2015-11-23,371.700012,382.899994,370.200012,380.299988,374.406769,869178
2015-11-24,384.000000,384.299988,376.350006,378.049988,372.191650,813490
2015-11-26,376.100006,392.399994,376.100006,388.549988,382.528931,2068604
2015-11-27,389.750000,389.750000,378.649994,379.899994,374.013000,638174
2015-11-30,378.000000,385.899994,377.750000,381.500000,375.588226,315528
2015-12-01,382.149994,382.500000,376.649994,377.899994,372.043976,400194
2015-12-02,378.049988,383.950012,375.350006,376.700012,370.862610,377398
2015-12-03,373.500000,379.000000,370.049988,372.000000,366.235443,411070
2015-12-04,370.149994,375.600006,365.750000,366.750000,361.066772,263031
2015-12-07,368.200012,372.750000,364.500000,367.850006,362.149750,463510
2015-12-08,366.000000,371.250000,363.899994,365.799988,360.131470,414619
2015-12-09,365.700012,368.000000,358.700012,359.799988,354.224426,419161
2015-12-10,360.899994,364.250000,358.149994,362.750000,357.128784,236817
2015-12-11,370.850006,378.350006,349.700012,352.549988,347.086792,3053855
2015-12-14,348.799988,358.299988,348.049988,353.200012,347.726776,1503832
2015-12-15,353.950012,365.399994,350.000000,364.049988,358.408600,1385795
2015-12-16,364.450012,365.950012,352.399994,355.450012,349.941925,1158158
2015-12-17,356.149994,356.850006,350.000000,353.149994,347.677521,1160421
2015-12-18,352.899994,363.000000,350.500000,361.799988,356.193481,2133764
2015-12-21,360.950012,360.950012,352.799988,355.100006,349.597290,893057
2015-12-22,356.000000,362.899994,354.450012,361.350006,355.750458,1122747
2015-12-23,362.200012,364.399994,355.750000,358.200012,352.649261,751759
2015-12-24,360.000000,364.700012,343.200012,350.649994,345.216248,1477723
2015-12-28,350.649994,353.399994,349.299988,350.500000,345.068604,647834
2015-12-29,349.500000,352.500000,343.799988,351.299988,345.856171,1612905
2015-12-30,351.000000,352.500000,348.500000,349.850006,344.428680,312305
2015-12-31,350.200012,354.850006,339.799988,347.149994,341.770477,4706175
2016-01-01,347.149994,353.799988,346.500000,352.049988,346.594574,452823
2016-01-04,350.000000,353.500000,347.850006,351.399994,345.954651,687951
2016-01-05,351.899994,355.000000,345.799988,347.700012,342.311981,1494306
2016-01-06,347.700012,350.899994,343.200012,347.850006,342.459686,1000140
2016-01-07,346.700012,347.700012,336.549988,344.049988,338.718567,1423390
2016-01-08,347.700012,350.500000,338.200012,348.000000,342.607330,1341603
2016-01-11,345.000000,350.000000,343.649994,345.049988,339.703033,705294
2016-01-12,346.500000,349.000000,344.700012,346.899994,341.524384,638269
2016-01-13,349.500000,351.250000,345.000000,349.950012,344.527100,735198
2016-01-14,347.000000,359.950012,340.000000,341.700012,336.404968,2007294
2016-01-15,342.000000,342.500000,332.549988,335.850006,330.645630,1570462
2016-01-18,335.000000,343.799988,332.600006,334.250000,329.070435,2640407
2016-01-19,334.100006,340.450012,326.950012,339.200012,333.943726,1222626
2016-01-20,335.899994,343.899994,333.950012,340.850006,335.568146,1530254
2016-01-21,343.899994,347.600006,337.200012,343.399994,338.078613,1015243
2016-01-22,346.000000,349.000000,336.799988,347.600006,342.213531,1027422
2016-01-25,350.899994,357.950012,346.549988,354.450012,348.957367,801820
2016-01-27,357.850006,357.850006,345.000000,349.649994,344.231750,866074
2016-01-28,345.799988,348.899994,336.899994,339.000000,333.746826,1060659
2016-01-29,347.000000,366.700012,346.450012,363.700012,358.064087,1807418
2016-02-01,364.500000,366.250000,357.450012,359.950012,354.372162,659748
2016-02-02,359.899994,362.799988,350.700012,352.000000,346.545349,757686
2016-02-03,345.000000,356.500000,345.000000,354.049988,348.563538,723244
2016-02-04,356.049988,372.899994,356.049988,362.000000,356.390381,1519516
2016-02-05,363.649994,372.000000,361.100006,369.549988,363.823395,1549307
2016-02-08,366.100006,376.000000,365.000000,371.600006,365.841644,1047610
2016-02-09,367.500000,375.600006,365.500000,366.850006,361.165253,808046
2016-02-10,365.000000,373.799988,364.049988,370.399994,364.660217,2059928
2016-02-11,369.000000,370.299988,353.950012,356.350006,350.827942,1069363
2016-02-12,358.149994,360.750000,341.100006,355.850006,350.335693,2187500
2016-02-15,356.250000,364.649994,350.500000,358.700012,353.141541,775675
2016-02-16,362.950012,363.399994,346.500000,347.549988,342.164307,1720575
2016-02-17,346.299988,346.350006,323.049988,326.850006,321.785095,2744020
2016-02-18,328.100006,335.500000,320.149994,333.649994,328.479706,1744811
2016-02-19,333.000000,340.799988,331.000000,334.700012,329.513428,807083
2016-02-22,337.700012,339.399994,326.299988,337.899994,332.663818,873701
2016-02-23,338.000000,338.000000,326.500000,329.450012,324.344757,828320
2016-02-24,331.000000,332.000000,324.149994,326.950012,321.883575,668565
2016-02-25,328.100006,330.750000,322.700012,323.750000,318.733093,1270824
2016-02-26,328.549988,337.000000,324.950012,330.149994,325.033966,881692
2016-02-29,331.750000,331.750000,301.700012,316.799988,311.890808,1857767
2016-03-01,312.500000,340.000000,310.000000,337.500000,332.270050,1388815
2016-03-02,337.500000,338.450012,327.500000,333.899994,328.725830,1520145
